date,rice,wheat_flour,cereal_prep,starch,veg_preserved,fruit_preserved,fish_canned,meat_canned,milk,veg_oil_soft,veg_oil_other,sugar,spices,edible_prep,coffee,beverages_nonalc,soap,paper_goods,pest_control,apparel,apparel_mens,apparel_womens,footwear,furniture_bedding,linens,toys_baby
2014-11-01,105.05,94.578,80.331,86.67,71.566,79.053,90.101,87.998,95.931,78.172,79.174,77.398,120.245,92.491,85.998,95.782,73.862,96.318,107.705,99.785,92.767,90.245,95.703,77.988,97.75,107.79
2014-12-01,104.607,93.747,80.344,86.617,72.176,78.895,90.565,88.156,90.166,77.734,76.196,78.227,123.191,92.998,86.849,95.854,73.882,96.549,108.253,101.324,93.133,91.128,95.937,77.904,98.399,107.886
2015-01-01,102.472,92.162,80.738,85.56,72.733,78.86,91.907,87.975,87.596,77.926,78.28,76.804,122.928,93.18,87.521,95.991,74.9,97.505,107.369,101.178,94.573,92.056,96.966,77.98,98.407,107.994
2015-02-01,103.455,93.383,81.005,86.362,74.054,78.896,90.777,88.188,86.236,77.693,78.296,76.128,121.058,93.274,88.152,96.016,74.541,97.538,107.822,102.654,95.111,91.854,96.966,78.016,99.066,108.077
2015-03-01,104.673,93.383,81.335,86.783,74.968,78.613,91.042,88.169,87.215,78.015,77.069,77.053,123.136,93.676,88.495,96.661,75.499,98.205,108.421,102.397,94.27,91.818,96.949,78.051,100.333,109.454
2015-04-01,102.008,92.266,81.383,86.9,73.992,78.596,90.132,88.073,86.884,76.41,74.759,74.969,125.42,92.863,88.774,96.397,72.313,97.954,107.705,101.199,93.8,90.684,96.956,78.027,99.724,109.322
2015-05-01,100.48,91.972,82.103,86.755,72.905,80.231,89.875,87.522,86.664,75.585,74.349,73.573,124.613,92.51,88.631,96.28,72.57,96.877,107.297,102.449,93.825,91.731,95.203,78.012,99.002,109.249
2015-06-01,99.348,90.856,81.213,87.019,72.93,80.433,89.827,88.07,87.47,76.084,74.99,71.81,124.717,92.477,88.801,96.321,72.7,97.101,107.59,104.082,93.912,91.975,96.215,77.954,99.308,109.473
2015-07-01,98.325,90.808,81.195,87.73,73.175,80.102,89.827,87.936,86.148,77.253,73.247,68.905,125.307,92.883,89.623,96.315,72.353,97.829,107.991,101.49,94.707,93.126,94.18,78.17,99.698,109.548
2015-08-01,100.195,90.84,81.282,88.614,73.723,80.332,90.222,88.239,85.197,77.469,66.54,69.876,126.417,93.497,90.66,96.401,72.574,98.634,109.015,102.566,94.832,93.82,94.181,78.109,101.346,111.089
2015-09-01,99.118,90.791,81.415,88.591,74.311,80.64,89.384,88.575,83.792,77.623,65.851,69.233,126.353,93.875,89.412,96.508,72.868,98.694,109.406,103.377,94.881,93.957,94.262,77.205,102.319,111.163
2015-10-01,98.296,90.925,81.368,88.523,74.231,80.894,89.678,88.352,82.136,76.523,69.168,68.946,124.469,93.927,89.61,96.219,72.77,98.525,109.067,104.059,94.633,93.597,94.246,77.325,101.806,111.099
2015-11-01,96.684,90.428,81.173,88.146,74.52,80.863,88.148,88.565,81.194,76.213,67.613,72.812,125.665,93.879,90.354,96.13,73.189,98.385,110.659,103.209,94.653,93.379,94.236,77.311,102.135,111.151
2015-12-01,95.449,89.752,81.187,87.635,74.298,80.692,89.762,88.544,81.596,75.825,68.56,69.816,129.013,93.307,88.699,96.118,72.6,98.129,110.555,104.861,94.645,94.368,94.252,77.295,102.006,111.131
2016-01-01,95.037,89.599,81.265,87.66,75.272,80.621,87.371,87.975,78.484,76.395,71.364,72.873,129.551,93.29,91.673,94.307,73.939,97.232,111.205,104.826,94.633,95.159,97.014,77.456,101.729,111.252
2016-02-01,91.185,88.265,81.382,87.559,75.192,80.474,87.484,87.033,78.389,76.48,75.959,71.87,129.651,93.282,91.047,94.227,73.403,96.82,110.147,105.052,94.346,94.801,96.863,77.358,101.126,111.12
2016-03-01,89.738,88.094,81.297,86.06,73.863,80.263,87.468,86.327,78.408,75.516,79.419,71.028,127.965,93.137,88.408,93.971,72.739,95.687,108.909,105.005,93.627,94.214,96.924,77.338,99.712,110.967
2016-04-01,88.086,87.251,81.319,86.055,73.11,80.091,87.159,86.418,75.995,75.297,84.242,70.039,127.452,92.919,88.235,93.853,72.169,95.072,95.564,103.362,93.762,91.616,96.538,77.381,98.93,110.12
2016-05-01,89.374,87.634,81.712,86.472,73.368,80.247,86.548,86.556,75.259,76.576,82.891,75.797,125.843,93.174,89.454,93.913,72.768,95.697,96.259,103.479,94.255,92.204,96.548,77.401,99.769,110.214
2016-06-01,88.805,87.278,82.007,86.355,72.928,80.156,86.499,86.447,73.135,76.359,80.276,75.505,123.792,93.064,87.773,93.78,73.73,95.474,95.728,103.428,94.26,95.02,96.567,77.376,99.421,110.142
2016-07-01,88.553,86.805,81.865,86.075,72.593,80.231,86.97,86.426,74.238,76.569,76.716,80.481,123.28,93.064,87.496,93.619,73.343,95.466,95.617,103.228,94.476,91.671,96.919,77.54,98.865,110.12
2016-08-01,88.196,87.438,81.903,84.636,72.011,80.198,87.067,86.803,73.816,75.803,82.272,82.772,122.614,92.928,87.81,93.608,73.481,95.279,95.536,103.224,94.054,92.553,96.919,77.744,98.951,110.104
2016-09-01,88.065,86.84,81.975,84.504,72.373,80.306,88.554,86.917,74.356,75.763,86.013,85.043,122.639,93.274,89.599,93.644,73.753,95.261,95.814,103.635,94.322,91.195,96.997,82.285,99.637,110.16
2016-10-01,88.035,86.58,82.107,84.21,73.66,80.452,90.188,87.022,77.511,75.733,83.905,90.726,118.987,94.068,92.119,91.293,74.736,95.651,96.385,103.756,94.437,91.632,97.021,82.294,100.752,110.277
2016-11-01,87.868,87.402,82.518,84.648,74.304,82.972,91.603,87.565,78.328,76.765,87.754,94.731,118.32,94.616,91.457,91.374,75.858,95.542,96.996,103.963,94.651,91.321,97.014,82.291,101.575,110.401
2016-12-01,86.374,86.883,82.544,85.107,75.15,83.563,91.941,87.888,79.932,77.677,93.7,92.022,119.254,95.284,92.27,91.451,76.492,95.564,97.582,103.671,93.724,91.077,97.05,82.228,101.912,110.523
2017-01-01,87.167,85.314,83.502,85.114,74.69,85.841,92.731,88.227,80.416,77.52,95.183,91.006,116.915,95.272,90.224,91.219,77.696,95.634,97.424,103.87,93.886,91.17,97.135,82.541,102.185,110.49
2017-02-01,86.446,84.827,83.442,84.433,78.811,85.762,92.731,87.94,81.541,77.394,93.386,93.211,114.524,95.261,89.83,91.115,77.252,94.878,97.108,102.104,93.886,91.123,97.123,82.518,101.732,110.425
2017-03-01,86.163,84.637,83.932,84.171,77.196,86.256,92.468,88.085,81.328,77.677,88.239,91.144,112.598,94.926,89.691,91.397,76.909,94.273,96.896,102.075,93.421,90.825,97.125,82.495,101.371,110.38
2017-04-01,85.274,85.04,83.828,83.87,76.799,86.124,90.57,88.514,81.784,77.404,84.734,87.094,111.242,95.181,89.205,91.463,76.496,94.29,96.718,102.048,93.681,90.908,97.345,82.68,101.208,110.345
2017-05-01,85.021,86.806,83.607,83.814,76.972,86.66,90.57,88.95,81.325,77.073,86.875,87.139,106.137,95.12,89.293,91.452,76.364,94.24,99.971,102.233,93.681,91.015,97.353,82.827,101.38,110.329
2017-06-01,84.593,87.315,83.592,83.791,76.573,86.667,90.838,88.832,80.529,76.276,84.086,82.195,101.45,95.17,89.584,91.32,76.093,94.236,99.708,102.027,93.605,90.513,97.349,83.028,100.996,110.277
2017-07-01,82.18,87.538,83.482,83.745,76.142,89.493,90.759,88.638,79.662,75.678,82.096,77.286,100.837,94.916,91.709,91.288,75.787,93.834,99.416,102.533,93.376,90.463,97.326,82.925,100.449,110.319
2017-08-01,81.714,87.538,83.507,83.653,75.397,88.596,91.565,88.491,79.443,75.596,81.083,77.008,100.121,94.442,91.619,90.193,75.752,93.714,99.151,102.558,93.507,91.012,97.201,82.926,99.992,110.266
2017-09-01,86.319,85.948,83.467,83.616,74.962,88.52,91.606,88.343,80.871,74.45,84.215,76.133,100.69,94.78,91.196,90.161,74.978,93.685,98.886,102.731,93.909,91.778,97.182,84.095,99.525,110.213
2017-10-01,93.764,85.797,83.519,83.9,75.243,88.867,92.21,88.518,80.025,74.788,83.725,74.159,99.652,95.72,90.829,90.501,75.626,93.76,99.146,102.732,93.851,92.205,97.173,84.053,99.842,110.265
2017-11-01,94.891,85.797,83.504,84.557,75.414,88.805,95.108,87.749,79.66,74.671,82.049,73.329,98.182,95.823,90.795,90.549,75.608,94.538,99.041,102.765,93.866,92.178,97.194,84.032,99.678,110.244
2017-12-01,97.11,86.762,83.389,84.935,75.282,88.742,95.39,87.367,79.622,74.349,77.764,72.472,98.055,95.723,90.635,90.519,75.563,94.567,98.812,102.755,93.733,92.122,97.148,84.118,99.305,110.198
2018-01-01,99.211,87.696,83.73,81.365,74.296,87.693,94.662,87.998,75.458,73.836,77.969,67.759,94.246,98.049,91.183,90.68,73.746,92.662,93.136,101.765,92.741,92.026,97.441,84.099,96.448,107.817
2018-02-01,100.605,87.636,83.783,81.516,74.2,87.887,95.688,88.444,74.903,74.588,77.697,67.834,94.519,97.911,90.777,90.68,73.619,92.799,93.606,103.287,93.331,92.52,97.301,85.389,96.689,108.821
2018-03-01,105.265,87.552,83.746,81.239,74.086,87.8,95.079,87.937,75.136,73.947,76.669,65.816,94.199,97.935,90.651,90.68,72.192,93.058,95.055,103.745,93.058,93.304,97.239,84.368,96.431,109.386
2018-04-01,107.292,88.107,83.914,81.166,74.123,88.017,95.19,87.938,75.248,73.905,75.254,65.16,92.968,97.524,89.767,90.734,74.493,93.952,96.481,104.138,93.213,93.423,97.248,84.41,96.672,109.21
2018-05-01,110.772,88.741,84.011,83.463,75.218,88.334,94.89,88.138,76.373,74.012,74.448,65.626,91.448,97.833,89.749,90.734,74.403,94.188,100.11,105.033,93.941,93.516,97.655,84.295,97.716,108.636
2018-06-01,110.986,89.77,83.99,85.029,75.722,89.157,93.697,88.211,77.419,73.643,72.542,64.972,91.325,98.33,89.531,90.734,73.393,94.277,100.867,105.374,94.373,93.262,97.804,84.049,98.727,110.944
2018-07-01,114.705,89.945,84.599,90.385,76.558,90.507,94.062,88.8,78.76,73.692,71.319,65.692,91.25,94.989,89.086,90.739,74.035,95.258,99.916,105.767,93.629,92.453,98.088,84.133,100.803,111.703
2018-08-01,112.697,89.993,84.706,93.232,76.881,91.373,95.309,89.014,79.01,72.879,69.687,66.14,90.529,95.039,88.715,90.739,77.734,95.545,100.313,104.817,93.104,92.885,98.435,84.145,102.214,111.812
2018-09-01,112.081,90.238,84.755,93.511,76.966,91.418,96.295,89.036,79.109,72.607,68.059,66.276,88.345,95.172,88.857,91.177,79.495,96.182,99.517,105.033,96.645,92.93,98.565,84.366,102.675,113.189
2018-10-01,113.104,90.665,84.9,93.868,77.32,91.508,97.489,89.098,79.062,72.592,66.214,66.412,87.196,95.254,88.828,90.708,79.466,96.437,100.502,104.509,96.632,92.352,98.933,84.486,102.326,113.212
2018-11-01,113.276,90.938,84.828,93.422,77.096,91.257,97.87,89.069,77.524,72.062,62.457,67.551,86.706,95.254,88.599,90.634,80.139,96.783,99.995,104.682,96.31,92.484,98.921,84.418,101.676,110.587
2018-12-01,111.195,90.869,84.844,92.038,76.905,90.908,96.622,89.48,77.033,71.827,62.167,66.702,85.119,95.948,88.493,90.634,79.945,96.775,100.193,104.455,96.393,92.475,98.854,84.178,100.963,107.177
2019-01-01,109.83,90.736,84.933,94.792,76.359,88.706,98.414,91.414,77.049,71.278,63.348,65.654,85.054,96.613,86.423,92.222,82.327,96.579,102.38,105.154,98.922,91.837,98.532,84.382,100.167,106.06
2019-02-01,109.67,90.886,84.851,94.672,76.423,84.902,98.523,91.418,76.776,70.578,63.389,65.813,85.121,96.512,86.206,92.222,80.247,96.685,102.05,104.348,99.099,91.545,98.485,84.406,99.84,105.993
2019-03-01,109.587,90.844,84.927,94.248,76.439,84.873,98.59,90.649,77.323,70.52,62.208,65.243,84.197,96.578,86.656,92.222,75.214,96.813,103.191,104.077,99.296,91.679,98.606,84.214,99.853,106.808
2019-04-01,109.759,90.827,84.762,94.341,76.47,84.495,97.951,90.693,78.521,70.709,62.895,66.445,82.819,96.398,86.162,91.867,75.966,96.921,103.253,103.945,99.361,91.694,98.643,86.522,99.937,106.982
2019-05-01,110.822,90.906,84.835,92.541,77.099,84.631,97.23,90.789,81.15,71.7,61.546,66.781,82.414,96.746,84.916,91.866,76.75,96.78,102.677,103.694,99.24,91.852,98.903,87.489,100.527,107.624
2019-06-01,110.105,91.147,84.959,92.881,76.761,84.462,96.147,90.75,81.65,71.085,60.385,66.157,81.971,97.007,85.296,91.683,75.629,96.695,102.665,104.481,99.128,91.491,98.768,87.845,107.217,107.769
2019-07-01,109.24,91.152,85.115,93.041,76.677,85.409,95.311,90.731,82.859,70.484,59.389,65.696,81.236,96.565,84.813,92.463,75.292,96.631,103.352,104.6,99.142,91.537,97.025,87.622,107.553,107.771
2019-08-01,110.155,91.352,85.192,93.47,77.765,85.798,96.466,91.915,84.128,71.585,61.279,66.066,81.598,97.711,85.215,92.562,76.01,96.783,102.025,104.912,99.565,91.28,97.347,87.582,108.814,105.884
2019-09-01,110.803,91.315,85.147,93.474,77.609,85.62,95.752,92.027,83.339,72.004,61.24,65.919,80.297,98.202,85.196,92.562,75.952,96.786,102.613,105.157,98.987,89.578,97.268,88.001,108.62,105.599
2019-10-01,112.246,91.234,85.984,93.645,77.174,86.369,95.96,92.883,83.155,71.884,61.719,65.822,78.335,99.602,86.486,92.295,76.273,96.745,103.205,104.964,99.491,89.473,97.571,87.861,108.038,105.444
2019-11-01,111.769,90.561,86.816,93.202,76.752,86.159,95.651,93.772,83.219,71.327,66.064,64.846,76.769,99.446,86.227,92.504,76.094,96.699,102.858,104.145,99.444,89.578,97.41,87.704,107.648,104.036
2019-12-01,108.344,90.53,86.797,92.515,76.508,84.868,95.284,93.555,82.284,71.408,71.002,63.93,76.468,99.563,86.389,92.414,75.879,96.185,103.217,104.224,99.543,91.56,97.342,87.714,107.475,102.72
2020-01-01,107.461,90.739,86.608,96.725,76.239,84.863,94.784,94.321,84.309,72.592,74.882,65.205,76.385,99.992,86.356,94.079,76.379,96.155,102.305,104.133,99.78,91.815,97.235,87.75,106.42,102.937
2020-02-01,111.273,91.142,86.784,100.274,78.071,85.725,94.732,94.643,85.557,74.788,73.13,68.659,76.477,98.434,87.651,94.079,78.635,96.337,103.52,105.225,101.318,85.137,97.876,87.999,107.977,104.663
2020-03-01,112.877,91.181,87.471,101.252,79.45,88.003,98.272,94.749,86.408,76.9,70.083,70.39,76.471,99.179,87.7,94.059,78.866,96.291,103.939,106.348,102.616,90.778,98.318,88.753,109.07,105.359
2020-04-01,114.343,91.888,87.469,101.28,80.244,88.384,97.756,94.815,90.884,77.032,67.742,69.996,76.45,97.394,87.964,95.23,76.456,93.197,104.164,106.377,102.65,94.772,98.555,88.941,109.386,102.967
2020-05-01,115.282,91.799,87.497,101.236,79.941,88.259,97.981,95.241,90.592,76.171,65.81,71.813,77.024,97.334,88.165,95.23,76.493,93.464,104.232,106.947,102.145,94.005,98.448,89.019,108.908,101.03
2020-06-01,112.389,91.597,87.459,96.907,78.667,89.292,97.926,95.042,88.561,75.826,67.143,72.542,76.663,97.075,87.661,95.23,75.717,93.484,103.861,106.545,101.014,93.576,98.054,88.326,107.957,100.387
2020-07-01,111.571,91.232,87.481,99.588,79.632,89.251,97.447,94.993,88.125,76.075,68.465,72.602,76.691,96.549,87.636,95.715,76.049,93.388,100.866,106.175,101.179,94.026,97.958,89.182,107.89,101.184
2020-08-01,109.143,91.091,87.475,99.405,78.873,89.394,95.033,95.425,86.411,76.583,72.026,68.478,76.723,96.591,87.856,95.715,77.71,93.247,101.078,105.898,100.724,93.982,100.394,88.769,102.904,100.861
2020-09-01,107.365,91.053,87.513,97.831,78.475,89.363,94.963,95.449,86.057,76.382,74.216,68.366,76.63,96.522,88.395,95.715,79.247,93.259,103.083,105.942,101.245,94.399,101.442,88.707,102.736,101.496
2020-10-01,106.579,90.988,87.511,97.579,78.097,89.17,95.835,95.357,86.996,77.869,77.67,68.56,77.283,96.461,87.69,91.996,76.168,92.921,103.363,106.251,101.464,94.636,101.815,89.105,102.697,101.412
2020-11-01,103.701,90.647,87.51,97.306,77.578,86.703,96.392,95.171,85.16,78.181,82.453,68.122,77.188,96.443,88.194,91.996,77.496,93.045,103.029,106.088,103.798,97.216,102.06,89.138,102.676,101.227
2020-12-01,101.026,90.466,87.454,96.725,76.833,88.993,96.506,95.133,85.594,80.31,88.06,69.073,77.186,96.383,88.278,91.996,78.795,92.708,102.593,105.828,103.393,97.172,102.021,88.266,101.534,100.946
2021-01-01,99.888,91.102,87.645,96.576,77.067,89.24,97.027,96.115,85.714,82.854,92.18,72.136,76.303,95.757,85.806,88.981,92.234,92.762,96.054,105.872,103.885,93.936,102.36,88.507,101.371,100.954
2021-02-01,99.433,91.631,87.857,97.646,77.198,89.229,100.505,95.715,85.98,85.372,96.02,73.856,76.064,95.31,86.61,88.867,94.962,93.398,95.084,105.959,104.237,94.023,102.523,89.602,101.925,100.937
2021-03-01,100.367,92.392,87.923,98.256,77.85,89.403,96.627,94.906,86.896,92.656,101.927,75.341,80.725,95.329,86.735,88.867,94.489,93.433,94.868,106.184,104.838,93.89,102.628,90.824,102.454,101.097
2021-04-01,99.724,92.655,87.836,97.832,77.453,89.159,97.442,95.238,88.163,96.896,104.691,77.509,81.428,92.605,88.122,89.578,92.307,95.387,104.991,105.778,104.29,93.894,102.336,90.203,102.593,101.294
2021-05-01,98.356,92.796,87.855,97.856,77.17,89.17,97.521,95.261,90.954,102.841,110.225,79.333,83.983,93.145,88.49,89.578,95.2,95.31,110.664,105.873,104.626,93.882,102.254,90.051,102.855,101.229
2021-06-01,97.245,92.719,87.876,98.01,77.202,89.089,97.813,95.212,91.433,106.254,106.288,80.969,89.91,93.151,88.663,89.708,98.168,95.624,109.786,106.042,105.466,98.655,102.781,90.338,102.636,101.201
2021-07-01,96.542,92.853,87.852,98.924,79.424,89.428,94.165,95.999,92.774,107.327,111.007,81.791,90.323,93.286,88.114,90.61,101.105,95.996,118.163,106.469,106.188,98.565,103.0,90.715,103.539,101.856
2021-08-01,95.552,92.899,87.926,98.957,79.418,89.242,95.303,95.82,93.614,107.891,113.887,82.075,90.992,93.467,88.206,91.025,99.649,96.697,118.929,106.002,108.023,98.82,103.0,90.86,102.079,101.869
2021-09-01,92.488,94.04,88.344,99.312,80.012,89.166,96.108,95.718,92.707,106.199,114.981,81.141,90.796,93.251,88.559,91.025,102.345,96.677,116.55,105.815,108.404,99.083,102.936,90.717,101.764,101.72
2021-10-01,91.652,95.645,88.377,98.278,80.138,89.303,97.912,95.647,93.213,106.438,122.497,82.184,92.183,93.287,90.259,91.588,101.135,96.652,120.269,105.929,109.484,99.072,103.154,91.355,101.551,101.456
2021-11-01,90.839,96.26,88.586,98.662,82.106,89.339,99.818,95.982,94.987,107.504,126.31,82.901,93.211,93.431,90.934,91.588,97.16,96.657,120.392,106.171,110.06,101.66,103.412,91.833,102.521,101.0
2021-12-01,91.173,97.34,89.247,99.005,83.051,88.386,99.503,95.681,94.834,108.467,125.741,83.891,93.034,93.552,91.125,91.588,114.245,96.797,114.795,106.424,110.618,102.736,103.371,91.719,102.761,101.122
2022-01-01,90.506,99.149,89.782,99.725,83.404,91.463,99.255,95.938,96.704,109.165,123.146,84.125,92.006,94.09,92.909,92.921,113.861,97.233,109.167,105.768,109.97,102.5,103.165,91.448,102.069,104.298
2022-02-01,90.832,100.106,89.744,99.565,85.35,91.504,96.661,95.903,97.183,110.86,131.561,87.299,93.168,94.045,93.084,92.921,113.744,97.044,109.041,105.627,109.835,100.961,103.139,91.581,101.641,104.212
2022-03-01,92.166,101.174,90.396,100.178,86.614,91.653,100.314,96.013,99.609,116.623,142.23,88.978,94.878,93.886,93.945,92.921,114.129,97.151,108.531,105.871,110.549,102.448,103.384,91.942,102.222,104.409
2022-04-01,93.251,102.288,90.563,100.277,89.098,91.446,102.144,98.189,101.313,124.133,145.533,88.727,95.12,93.577,95.497,96.169,113.805,97.307,101.431,106.806,110.318,100.158,103.165,91.499,102.826,104.441
2022-05-01,96.697,102.008,90.863,100.614,90.629,91.815,102.594,98.164,108.513,127.519,151.177,89.879,96.41,93.487,95.138,96.169,114.043,97.515,101.855,106.265,110.301,101.255,102.34,91.703,103.492,104.519
2022-06-01,98.752,101.868,91.832,102.716,92.572,91.828,101.621,98.249,108.505,132.844,143.056,90.986,94.799,93.585,95.706,96.169,114.297,97.758,104.066,105.894,110.491,101.343,102.418,91.963,103.588,104.628
2022-07-01,102.431,104.277,92.69,101.187,95.664,94.466,99.548,99.688,109.883,135.131,129.481,93.242,95.605,97.302,94.44,99.553,114.522,98.394,99.587,105.61,110.838,101.653,102.182,91.56,104.059,104.91
2022-08-01,101.127,104.868,93.378,102.471,94.763,96.629,101.398,99.542,106.761,131.454,122.789,92.017,95.31,97.979,94.448,99.553,112.825,98.581,101.812,103.463,111.436,101.714,101.652,90.887,102.806,100.578
2022-09-01,102.737,105.318,93.384,105.17,97.028,97.132,104.248,100.548,107.869,131.836,116.337,94.652,96.895,97.838,95.22,100.263,112.919,99.042,101.513,103.232,109.015,101.423,101.434,91.95,103.322,100.948
2022-10-01,103.018,106.054,93.63,105.293,96.127,97.038,103.44,99.66,108.338,129.292,112.882,98.444,98.456,101.093,95.407,102.397,113.185,99.428,101.795,102.715,108.507,100.937,101.042,95.254,103.612,100.979
2022-11-01,99.923,106.054,93.922,101.962,97.044,96.417,105.847,99.887,105.211,123.036,110.392,94.649,95.329,100.928,94.533,102.631,106.749,99.553,102.546,101.682,106.542,100.179,100.504,98.754,101.219,99.148
2022-12-01,97.317,105.639,94.442,100.696,96.163,97.327,104.054,99.687,102.843,119.309,106.601,94.891,94.381,100.813,93.988,102.631,105.106,99.019,102.679,100.791,104.072,100.499,100.556,99.142,99.68,104.876
2023-01-01,93.796,105.191,99.592,88.765,99.586,101.455,96.943,99.943,102.724,104.702,105.585,89.466,94.687,98.973,95.789,100.497,103.518,100.836,97.432,101.136,100.269,115.117,99.009,101.389,96.1,110.392
2023-02-01,93.796,105.191,99.592,88.765,99.586,101.455,96.943,99.943,102.724,104.702,105.585,89.466,94.687,98.973,95.789,100.497,103.518,100.836,97.432,101.136,100.269,115.117,99.009,101.389,96.1,110.392
2023-03-01,97.508,104.085,100.164,89.864,99.643,100.833,97.31,100.093,102.482,105.781,104.562,92.564,96.61,99.512,94.934,99.945,103.813,101.322,100.058,102.324,100.598,114.217,104.129,101.388,100.111,107.252
2023-04-01,98.874,102.962,100.055,97.617,99.542,100.835,97.29,100.23,101.925,103.882,105.106,93.157,97.216,99.703,97.453,100.656,104.053,100.641,100.008,102.453,101.25,119.918,98.365,101.167,99.454,105.788
2023-05-01,99.349,101.824,100.093,98.937,99.455,100.283,100.073,100.331,99.998,100.086,103.02,96.129,98.972,100.05,99.006,100.141,103.829,100.856,100.336,101.126,99.695,107.503,98.572,99.331,99.454,105.239
2023-06-01,99.843,100.668,100.169,100.207,99.343,99.481,101.404,100.525,100.498,96.822,101.063,99.693,102.584,100.033,98.52,99.648,105.488,100.313,100.336,97.745,99.549,117.526,104.687,99.698,100.904,104.486
2023-07-01,100.317,98.044,99.889,105.381,100.158,99.322,101.337,100.261,99.444,97.94,99.649,99.017,102.586,100.504,102.689,99.912,101.17,99.664,100.394,98.162,98.981,112.103,99.888,99.874,100.723,92.427
2023-08-01,99.926,96.901,99.984,106.532,100.8,99.571,101.296,100.298,99.118,98.282,98.96,108.512,103.201,100.749,103.063,100.175,98.004,99.805,100.394,98.065,99.44,101.544,97.964,99.912,101.924,91.888
2023-09-01,102.382,96.901,99.991,107.227,101.046,99.465,101.397,99.804,98.192,98.674,96.464,109.433,103.071,100.887,103.013,99.98,96.036,100.057,100.394,106.876,100.05,82.452,98.053,99.69,101.733,91.699
2023-10-01,105.933,96.527,99.258,107.271,101.098,99.24,101.691,99.809,98.681,98.292,95.59,109.452,103.234,100.661,103.228,99.64,94.381,100.335,101.921,104.28,99.689,78.736,99.878,99.013,102.121,92.449
2023-11-01,104.946,96.527,100.53,105.199,100.247,99.108,102.14,99.471,97.488,96.104,92.719,107.068,102.473,100.168,101.182,99.547,93.427,98.868,100.998,93.806,100.535,74.257,101.111,98.615,101.084,94.026
2023-12-01,103.329,95.18,100.681,104.236,99.495,98.951,102.178,99.294,96.725,94.733,91.696,106.044,100.679,99.787,105.334,99.362,92.764,96.467,100.296,92.889,99.677,61.511,99.336,98.533,100.292,93.961
